lat,long,agi
47.238277,-119.895745,25579
47.614104,-122.33319,257397
47.614112,-122.333147,257397
47.606279,-122.335205,98639
45.606403,-122.471468,69648
47.252148,-122.5242,45673
47.691832,-122.35681,98316
47.69158,-122.356266,98316
47.313989,-122.300707,32259
47.3067,-122.58017,71256
47.7096188,-122.1623907,104401
47.6594,-122.36947,95249
47.474171,-122.224102,45670
47.634438,-122.324583,134395
47.331977,-122.093326,46214
46.99476,-122.82386,41793
47.6133892,-122.1970996,239631
47.451373,-122.826865,37053
47.542153,-121.836634,83613
47.562162,-122.684286,38510
47.238785,-122.426722,36840
48.78505083,-122.488855883,44946
47.62497,-117.539743,47253
47.625057,-117.53991,47253
48.791491,-122.492374,44946
46.323285894252,-119.99395804467,20867
47.624986,-117.539808,47253
47.625019,-117.539665,47253
47.625059,-117.539598,47253
47.625024,-117.539864,47253
47.238487,-122.294677,46423
47.577051,-122.125164,93669
47.242541,-122.499508,34053
45.852238,-122.708784,57400
45.852356,-122.708312,57400
45.852508,-122.708365,57400
47.613972,-122.194125,239631
47.613973,-122.194071,239631
47.787897,-122.311661,44319
47.787867,-122.31192,44319
47.198314,-122.489257,28926
47.282993,-122.48233,62424
47.610087,-122.322114,98639
47.584289,-122.136777,69292
47.166509,-122.145315,50551
47.19854,-121.979695,48963
47.605192,-122.33285,98639
47.602544,-122.33301,98639
47.602553,-122.332883,98639
45.629395,-122.663203,39081
45.629428,-122.663273,39081
46.97901,-120.25756,38855
47.04451,-122.8451,45355
47.6232795,-122.354922,130936
47.547088,-122.065336,91358
47.044497,-122.845142,45355
47.645190854,-122.025976837,113543
47.8444,-122.54224225,49113
47.6207775,-122.630222,37155
47.4418203,-122.1554235,48364
47.859687,-121.967706,45966
47.1558165,-122.358682,39975
47.593975,-122.324221,161615
47.618226,-122.333907,150993
47.630989,-117.540534,47253
47.61823,-122.33392,150993
47.618233,-122.33391,150993
47.618223,-122.334017,150993
47.618246,-122.333948,150993
47.618237,-122.33389,150993
47.618244,-122.33387,150993
47.61824,-122.333855,150993
47.7108371216806,-122.17214269969,81474
46.997451997,-122.822238546,34394
46.26024,-119.309695,49635
46.99366,-122.90824,45355
47.707867,-122.321702,61215
47.621188,-122.175998,117231
47.63187,-122.14277,50031
47.582147,-122.136648,69292
47.582154,-122.136594,69292
48.1161725,-123.4347265,38344
47.26726,-122.46208,67968
47.75648,-122.66051,49711
47.72305,-122.29212,61215
47.453215,-122.249421,35278
47.59519,-120.66404,53459
47.453253,-122.24899,35278
47.446823,-122.329489,37400
47.04583576,-122.94200684,50031
48.437167,-122.3369445,34728
47.182613,-122.291317,46301
46.229119,-119.106522,28619
47.322103,-122.173962,42918
48.518102,-122.611203,60931
48.518179,-122.611202,60931
45.639182,-122.623391,39081
47.86215,-121.81659,34349
45.639139,-122.62349,39081
48.286317,-122.6620275,33634
47.8789325,-122.2071316,42691
47.8124532,-122.3758246,100727
47.8113372,-122.37709,100727
47.6733025,-122.1186641,104401
47.67881,-122.17536,187933
47.6743748,-122.3878536,95249
47.6807529,-122.4047949,89744
47.6357914,-122.5148321,118406
47.2086,-121.0198,67324
47.619761,-122.199755,239631
47.619799,-122.199793,239631
47.61977,-122.199722,239631
47.737887216,-122.636288,49711
47.4538545,-122.823114,37053
47.3139055,-122.312283,32259
47.496601419,-122.652109803,41269
48.039928,-122.409736,58310
46.448508,-120.43099,19083
46.448538,-120.430957,19083
48.73423,-122.48795,48487
47.044728,-122.902484,45355
47.044722,-122.902484,45355
47.049617639,-122.829249413,43185
47.535286,-122.6101915,37099
47.231325,-122.4876,28926
48.514381,-122.616919,60931
48.517744,-122.610748,60931
46.997349,-123.446815,31545
46.216773190847,-119.21101917564,27737
47.458466,-122.333257,37400
47.906308,-122.237601,29674
47.209058,-118.22567,27324
47.67381,-117.1130101,61376
47.546287,-122.351925,49607
47.616037,-122.205528,239631
48.052498,-122.189401,37493
48.052641,-122.189422,37493
46.230229,-119.226637,49635
47.513098,-122.652068,37099
48.507864,-122.613612,60931
47.877436435,-122.179395431,60641
47.66159,-122.324877,127182
47.2593,-122.43424,36840
47.542318,-122.32446,45088
47.70779,-122.321726,61215
47.707814,-122.321637,61215
47.706929,-122.320888,61215
47.706948,-122.320856,61215
47.546291,-122.351988,49607
47.180071,-122.552103,42533
48.151766,-122.1815615,41465
47.199421,-122.295091,46423
47.225367,-122.47265,28926
46.225504,-119.118868,28619
46.977979,-120.542576,38855
47.228587,-122.484155,28926
47.228591,-122.483871,28926
47.228591,-122.483943,28926
47.2423503,-122.4367763,59070
47.274639,-122.466744,67968
47.228593,-122.484226,28926
47.228587,-122.484083,28926
47.228591,-122.484015,28926
47.707294,-122.174855,81474
47.46655,-122.22995,45670
47.676223,-122.19942,187933
47.676179,-122.199363,187933
47.830769108,-122.27515344,43843
47.6169094,-122.0334614,43982
47.71535,-117.412094,39647
47.616915,-122.303963,98592
48.745308,-122.481071,48487
47.670337,-117.1812368,29975
47.274538,-122.466743,67968
47.707294,-122.174855,81474
47.069827,-122.773312,28265
45.821511,-120.823346,31507
47.816836,-122.290084,47505
47.228589,-122.484377,28926
45.821535,-120.822781,31507
47.759665,-122.250898,71076
48.7885917,-122.5060156,44946
48.7391984,-122.4851568,48487
47.9120626,-122.1014074,53937
47.8101038,-122.3735496,100727
47.034344,-122.89857,45355
47.731273,-122.293062,61215
47.2551169,-122.4766114,36840
47.542276,-122.324533,45088
47.57865585,-122.1665252,111188
48.1820905,-122.1277345,41465
47.234632,-122.409949,26893
47.221823,-122.443032,32588
47.614112,-122.196978,239631
47.67109,-117.112915,61376
47.623302,-122.345789,130936
47.573641,-122.223648,206897
47.623345,-122.345853,130936
47.623274,-122.345984,130936
47.623307,-122.345933,130936
47.623224,-122.345917,130936
47.5977415,-122.3329233,161615
48.391957,-122.490724,50914
47.814648,-122.112354,65531
47.6206301,-122.3198568,134395
47.676062,-122.091497,104401
47.676078,-122.091413,104401
46.732394,-117.164374,41024
47.676051,-122.091578,104401
47.482839,-122.176025,65018
