lat,long,test
47.613415,-122.196955,1
47.618918,-122.346874,1
47.619488,-122.346886,1
47.75969,-122.193886,1
47.759644,-122.1939,1
48.102409,-122.80229,1
47.75966,-122.19387,1
47.759647,-122.193886,1
47.75966,-122.19386,1
47.75964,-122.19391,1
47.037347,-122.897324,1
47.50453,-122.62941,1
47.759598,-122.193902,1
47.621194,-122.186139,1
47.185296,-122.299236,1
45.631806,-122.535112,1
48.103061,-122.794143,1
45.633264,-122.536477,1
48.5126865,-122.611788,1
47.713073982,-122.569902338,1
48.747824,-122.478347,1
47.43001676,-122.2961501,1
47.2464713,-122.4396442,1
47.9487555,-122.3062009,1
47.8105149,-122.3748742,1
47.70340520000001,-122.15378520000002,1
48.079887824216,-123.09749698672,1
48.113018,-122.760544,1
47.381517,-122.26211,1
47.527683,-121.8237,1
47.532721,-121.873105,1
47.52717,-121.82621,1
46.7250165,-124.0206708,1
48.0000028,-122.2146431,1
46.2707488,-118.1532507,1
48.5012896,-122.6152529,1
47.688818,-122.150315,1
47.618317,-122.1969022,1
47.625092,-117.53956,1
47.6110064,-122.2021671,1
47.582405,-122.153989,1
47.6171782,-122.3313731,1
47.6246042,-122.35931820000002,1
47.611378281765,-122.3314401402,1
47.5944743,-122.6294686,1
47.281263,-122.516582,1
47.056479,-122.762767,1
47.0001351,-122.8280101,1
47.6055171,-124.3715566,1
48.755607,-122.454132,1
47.716066,-122.179613,1
47.7088267,-122.1601307,1
47.2535492,-122.4469825,1
46.2025755,-123.3841695,1
45.6183882,-122.4917385,1
47.8142359,-122.3016909,1
47.5866676,-122.2340887,1
47.6091997,-122.3241094,1
47.5987016,-122.3351902,1
45.6304919,-122.6676833,1
45.6040109,-122.4757978,1
47.624921,-122.51934,1
46.0427838,-118.3869759,1
47.6177789,-122.1915562,1
47.65588110993,-122.38276327302,1
47.6283848,-122.3418983,1
47.6228746,-122.3394194,1
47.5974244,-122.3347174,1
47.7953945,-122.2116571,1
47.6163395,-122.3330877,1
47.6035183,-122.3329014,1
47.581142,-122.3357333,1
48.079897,-123.098996,1
48.454081,-122.334149,1
48.09885,-122.17922,1
47.618848,-122.3467506,1
47.6044756,-122.3378981,1
47.5454638,-122.3764102,1
47.228303734615,-122.46755358955,1
45.613275,-122.50409,1
47.9148059463057,-124.544494766543,1
46.0039829278164,-122.845311463165,1
47.0027896,-122.8474706,1
47.252117,-122.437452,1
47.669317,-117.402327,1
47.30283,-122.424971,1
47.616684,-119.287843,1
47.7534858,-122.1629554,1
47.7592911,-122.3448427,1
46.934055045,-122.593947986,1
47.018706,-122.8976885,1
47.135190354,-122.294424858,1
48.3990120273125,-122.333582969284,1
45.618949,-122.525453,1
48.00101,-122.2061313,1
47.222542058,-122.451572702,1
47.269919942,-122.488110764,1
47.609528,-122.326393,1
47.272625257,-122.514344349,1
47.926042415,-122.09600399,1
47.8176852900045,-124.151851571593,1
48.3331786074504,-124.660029250436,1
47.793213,-122.14057,1
47.793168,-122.140579,1
47.793094,-122.140577,1
47.793124,-122.140598,1
47.673795,-122.128859,1
47.673824,-122.128893,1
47.62419,-122.517509,1
47.621409,-122.353711,1
47.621311,-122.353622,1
47.621313,-122.353652,1
47.621413,-122.353638,1
47.621376,-122.353648,1
47.621411,-122.353676,1
47.621312,-122.353589,1
47.621377,-122.353675,1
47.621377,-122.353708,1
47.621309,-122.353679,1
47.759501,-122.193075,1
47.621378,-122.35362,1
47.302692,-122.424934,1
47.66149,-122.29641,1
47.467371,-122.33941,1
47.621055,-122.175961,1
47.62119,-122.176009,1
47.62118,-122.175985,1
47.621179,-122.176023,1
47.621169,-122.175976,1
47.620982,-122.175927,1
47.757842,-122.190719,1
47.620905,-122.175829,1
47.238641,-119.895401,1
47.238277,-119.895745,1
47.614104,-122.33319,1
47.614112,-122.333147,1
47.606279,-122.335205,1
45.606403,-122.471468,1
47.252148,-122.5242,1
47.691832,-122.35681,1
47.69158,-122.356266,1
47.313989,-122.300707,1
47.3067,-122.58017,1
47.7096188,-122.1623907,1
47.6594,-122.36947,1
47.474171,-122.224102,1
47.634438,-122.324583,1
47.331977,-122.093326,1
46.99476,-122.82386,1
47.6133892,-122.1970996,1
47.451373,-122.826865,1
47.542153,-121.836634,1
47.562162,-122.684286,1
47.238785,-122.426722,1
48.78505083,-122.488855883,1
47.62497,-117.539743,1
47.625057,-117.53991,1
48.791491,-122.492374,1
46.323285894252,-119.99395804467,1
47.624986,-117.539808,1
47.625019,-117.539665,1
47.625059,-117.539598,1
47.625024,-117.539864,1
47.238487,-122.294677,1
47.577051,-122.125164,1
47.242541,-122.499508,1
45.852238,-122.708784,1
45.852356,-122.708312,1
45.852508,-122.708365,1
47.613972,-122.194125,1
47.613973,-122.194071,1
47.787897,-122.311661,1
47.787867,-122.31192,1
47.198314,-122.489257,1
47.282993,-122.48233,1
47.610087,-122.322114,1
47.584289,-122.136777,1
47.166509,-122.145315,1
47.19854,-121.979695,1
47.605192,-122.33285,1
47.602544,-122.33301,1
47.602553,-122.332883,1
45.629395,-122.663203,1
45.629428,-122.663273,1
46.97901,-120.25756,1
47.04451,-122.8451,1
47.6232795,-122.354922,1
47.547088,-122.065336,1
47.044497,-122.845142,1
47.645190854,-122.025976837,1
47.8444,-122.54224225,1
47.6207775,-122.630222,1
47.4418203,-122.1554235,1
47.859687,-121.967706,1
47.1558165,-122.358682,1
47.593975,-122.324221,1
47.618226,-122.333907,1
47.630989,-117.540534,1
47.61823,-122.33392,1
47.618233,-122.33391,1
47.618223,-122.334017,1
47.618246,-122.333948,1
47.618237,-122.33389,1
47.618244,-122.33387,1
47.61824,-122.333855,1
47.7108371216806,-122.17214269969,1
46.997451997,-122.822238546,1
46.26024,-119.309695,1
46.99366,-122.90824,1
47.707867,-122.321702,1
47.621188,-122.175998,1
47.63187,-122.14277,1
47.582147,-122.136648,1
47.582154,-122.136594,1
48.1161725,-123.4347265,1
47.26726,-122.46208,1
47.75648,-122.66051,1
47.72305,-122.29212,1
47.453215,-122.249421,1
47.59519,-120.66404,1
47.453253,-122.24899,1
47.446823,-122.329489,1
47.04583576,-122.94200684,1
48.437167,-122.3369445,1
47.182613,-122.291317,1
46.229119,-119.106522,1
47.322103,-122.173962,1
48.518102,-122.611203,1
48.518179,-122.611202,1
45.639182,-122.623391,1
47.86215,-121.81659,1
45.639139,-122.62349,1
48.286317,-122.6620275,1
47.8789325,-122.2071316,1
47.8124532,-122.3758246,1
47.8113372,-122.37709,1
47.6733025,-122.1186641,1
47.67881,-122.17536,1
47.6743748,-122.3878536,1
47.6807529,-122.4047949,1
47.6357914,-122.5148321,1
47.2086,-121.0198,1
47.619761,-122.199755,1
47.619799,-122.199793,1
47.61977,-122.199722,1
47.737887216,-122.636288,1
47.4538545,-122.823114,1
47.3139055,-122.312283,1
47.496601419,-122.652109803,1
48.039928,-122.409736,1
46.448508,-120.43099,1
46.448538,-120.430957,1
47.42253,-121.41252,1
48.73423,-122.48795,1
47.044728,-122.902484,1
47.044722,-122.902484,1
47.049617639,-122.829249413,1
47.535286,-122.6101915,1
47.231325,-122.4876,1
48.514381,-122.616919,1
48.517744,-122.610748,1
46.997349,-123.446815,1
46.216773190847,-119.21101917564,1
47.458466,-122.333257,1
47.906308,-122.237601,1
47.209058,-118.22567,1
47.67381,-117.1130101,1
47.546287,-122.351925,1
47.616037,-122.205528,1
48.052498,-122.189401,1
48.052641,-122.189422,1
46.230229,-119.226637,1
47.513098,-122.652068,1
48.507864,-122.613612,1
47.877436435,-122.179395431,1
47.66159,-122.324877,1
47.2593,-122.43424,1
47.542318,-122.32446,1
47.70779,-122.321726,1
47.707814,-122.321637,1
47.706929,-122.320888,1
47.706948,-122.320856,1
47.546291,-122.351988,1
47.180071,-122.552103,1
48.151766,-122.1815615,1
47.199421,-122.295091,1
46.225504,-119.118868,1
46.977979,-120.542576,1
47.228587,-122.484155,1
47.228591,-122.483871,1
47.228591,-122.483943,1
47.2423503,-122.4367763,1
47.274639,-122.466744,1
47.228593,-122.484226,1
47.228587,-122.484083,1
47.228591,-122.484015,1
47.707294,-122.174855,1
47.46655,-122.22995,1
47.676223,-122.19942,1
47.676179,-122.199363,1
47.830769108,-122.27515344,1
47.6169094,-122.0334614,1
47.71535,-117.412094,1
47.616915,-122.303963,1
48.745308,-122.481071,1
47.670337,-117.1812368,1
47.274538,-122.466743,1
47.069827,-122.773312,1
45.821511,-120.823346,1
47.816836,-122.290084,1
47.228589,-122.484377,1
45.821535,-120.822781,1
47.759665,-122.250898,1
48.7885917,-122.5060156,1
48.7391984,-122.4851568,1
47.9120626,-122.1014074,1
47.8101038,-122.3735496,1
47.731273,-122.293062,1
47.2551169,-122.4766114,1
47.542276,-122.324533,1
47.57865585,-122.1665252,1
48.1820905,-122.1277345,1
47.234632,-122.409949,1
47.221823,-122.443032,1
47.614112,-122.196978,1
47.67109,-117.112915,1
47.623302,-122.345789,1
47.573641,-122.223648,1
47.623345,-122.345853,1
47.623274,-122.345984,1
47.623307,-122.345933,1
47.623224,-122.345917,1
47.5977415,-122.3329233,1
48.391957,-122.490724,1
47.814648,-122.112354,1
47.6206301,-122.3198568,1
47.676062,-122.091497,1
47.676078,-122.091413,1
46.732394,-117.164374,1
47.676051,-122.091578,1
47.482839,-122.176025,1
47.482565,-122.175843,1
47.161364,-122.517389,1
47.161377,-122.517325,1
48.219574,-122.689582,1
47.363983,-122.241893,1
47.242139,-122.437121,1
47.6098443,-122.2024273,1
47.6280692,-122.1438882,1
46.729675,-117.161393,1
47.6753316,-122.2057967,1
45.627364,-122.673345,1
45.627361,-122.673261,1
45.627365,-122.67312,1
47.300047,-117.978322,1
45.625546157476,-122.58179668033,1
47.357329,-122.301971,1
47.2999,-122.2135,1
47.356001,-122.16869,1
