latitude,longitude,avgrange
45.821475,-120.82557,34.1
45.6947484,-121.2837218,31.444444444444444444444444
45.9914877,-121.5317803,40.8
45.8669769,-121.1276987,37.5
45.72977,-121.48347,32.676470588235294117647059
45.661388,-120.964478,25.0
46.5337193,-122.1228547,42.0
46.7169232,-122.1844551,32.0
46.556285,-122.27838,75.5
46.60968,-121.66915,26.8
46.53731,-121.920025,29.666666666666666666666667
46.716875,-122.962555,31.890909090909090909090909
46.66113,-122.96692,31.626865671641791044776119
46.5863832,-122.5278704,29.5
46.567008,-123.1267988,21.666666666666666666666667
46.5308781,-122.71614,25.0
46.530395,-122.48444,37.444444444444444444444444
46.57584759,-122.9056795,31.5
46.577,-122.71921,33.0
46.5596671,-122.5000729,25.25
46.44142,-122.846675,31.0
46.400235,-122.954905,41.6
46.491135,-122.94,29.333333333333333333333333
47.8271662,-118.4270914,21.0
47.5052517,-117.95109,36.0
47.667915,-117.877905,36.666666666666666666666667
47.29733,-117.97788,38.0
47.75863,-118.521405,42.0
47.651205,-118.15232,30.375
47.331045,-118.689355,38.0
47.755985,-118.70598,30.5
47.3819798,-122.8386266,33.736842105263157894736842
47.4495785,-122.8551647,27.15625
47.3248964,-122.9529423,35.8125
47.4168231,-123.2021319,29.5
47.4998342,-123.0686855,14.0
47.211085,-123.105305,29.883928571428571428571429
47.438745,-122.98528,41.666666666666666666666667
47.33529,-123.06842,25.466666666666666666666667
48.097155,-119.783035,24.0
48.2496045,-120.1158629,11.5
48.59203,-120.405315,23.666666666666666666666667
48.1305433,-120.0041169,38.0
48.41147,-119.529965,22.9
48.935165,-119.43496,35.25
48.05164,-119.903265,41.0
48.50223,-119.509725,21.0
48.70556,-119.438935,38.25
48.365635,-120.12477,35.642857142857142857142857
48.4741766,-120.1774093,28.3
46.629685,-123.95362,25.0
46.746475,-124.084295,29.4
46.686115,-123.72855,32.666666666666666666666667
46.66546,-123.81213,53.0
46.711147,-123.9965452,23.5
46.2769106,-123.9490486,31.5
46.30954,-124.03897,33.0
46.3466,-124.05412,28.538461538461538461538462
46.3722551,-123.8035716,35.222222222222222222222222
46.4972,-124.04853,32.571428571428571428571429
46.54778,-124.028715,25.0
46.331995,-124.05586,33.333333333333333333333333
48.5624298,-117.3446295,33.333333333333333333333333
48.74178,-117.42018,26.0
48.181095,-117.049135,35.1
48.312794,-117.2823094,21.0
47.158295,-122.68607,29.285714285714285714285714
46.756945,-122.01843,27.333333333333333333333333
47.161465,-122.029685,29.109375
47.097455,-122.643815,30.555555555555555555555556
46.86822,-122.270565,31.75
47.383359,-122.6657985,34.043478260869565217391304
47.342345,-122.589645,28.918367346938775510204082
47.3234488,-122.5835454,28.709677419354838709677419
47.2254086,-122.6066806,29.157894736842105263157895
47.0763961,-122.2953401,31.653846153846153846153846
46.98436,-122.23469,19.0
47.2739449,-122.7658848,39.434782608695652173913043
47.1835998,-122.7736637,36.4
47.201625,-122.23825,28.931034482758620689655172
47.246525,-122.31774,29.052631578947368421052632
47.0942956,-122.2032237,32.219512195121951219512195
47.19178,-122.299155,32.032258064516129032258065
47.190465,-122.28718,31.689189189189189189189189
47.13795,-122.2987976,30.901408450704225352112676
47.1395924,-122.275748,30.638888888888888888888889
47.1042426,-122.3085456,28.047619047619047619047619
47.137975,-122.096795,30.0
47.1045,-122.435115,30.574257425742574257425743
47.1686632,-122.5970685,28.395348837209302325581395
47.18062,-122.183805,30.445414847161572052401747
47.320505,-122.769655,24.4
47.109146868,-122.0527005,18.5
47.25207,-122.44131,31.0
47.26455,-122.460375,31.382352941176470588235294
47.2174975,-122.4096963,36.140350877192982456140351
47.251135,-122.45153,31.710144927536231884057971
47.26365,-122.490985,32.902912621359223300970874
47.2923828,-122.5113356,29.897959183673469387755102
47.20322,-122.438105,38.022727272727272727272727
47.2198,-122.47913,30.484848484848484848484848
47.22468,-122.439165,28.782608695652173913043478
47.261725,-122.40594,30.0
47.28971,-122.38578,28.824742268041237113402062
47.241885,-122.36151,25.52
47.097005,-122.596275,32.478260869565217391304348
47.19449,-122.364635,28.923076923076923076923077
47.153995,-122.43827,29.711111111111111111111111
47.165675,-122.40872,31.948275862068965517241379
47.096645,-122.377475,31.8125
47.249445,-122.53569,26.88
47.231645,-122.537565,30.536
47.25303,-122.437085,38.0
47.12834,-122.49046,26.2
47.127165,-122.529685,32.333333333333333333333333
47.176685,-122.547645,29.901234567901234567901235
47.1712579,-122.5181098,31.324675324675324675324675
47.2074166,-122.5404512,27.366666666666666666666667
46.9876,-122.522985,33.393939393939393939393939
48.6236846,-122.9947196,35.0
48.7016716,-122.907229,37.526315789473684210526316
48.5316467,-123.0219704,33.652173913043478260869565
48.5262809,-122.9109264,27.448275862068965517241379
48.6391921,-122.791154,36.166666666666666666666667
48.5845356,-122.9631224,53.333333333333333333333333
48.501275,-122.615305,32.803571428571428571428571
48.5620007,-122.4410546,33.090909090909090909090909
48.474765,-122.33079,33.048780487804878048780488
48.461412932,-122.234180327,19.0
48.5374,-121.759005,28.333333333333333333333333
48.3829111,-122.5135345,28.117647058823529411764706
48.52525,-122.059765,38.0
48.55832,-121.421895,37.0
48.41333,-122.338975,32.36
48.41653,-122.32284,30.633333333333333333333333
48.486229,-121.5988788,21.0
48.503325,-122.235035,33.846153846153846153846154
45.7428006,-121.8239085,30.0
45.6395805,-121.9755204,53.0
45.6980854,-121.8849392,37.285714285714285714285714
45.7348285,-121.5312858,34.583333333333333333333333
47.80807,-122.37507,31.857142857142857142857143
47.80372,-122.335685,30.60101010101010101010101
47.819664,-122.3164188,29.948387096774193548387097
47.84182,-122.297265,31.19801980198019801980198
47.8650827,-122.2551991,29.383177570093457943925234
47.78416,-122.30842,28.666666666666666666666667
47.979935,-122.20722,35.426966292134831460674157
47.95479,-122.213105,31.300884955752212389380531
47.91139,-122.240535,31.791666666666666666666667
47.9156409,-122.2247757,30.801047120418848167539267
48.01306,-122.319018929,19.0
48.19485,-122.12324,30.593220338983050847457627
48.252975,-121.604165,25.0
47.858175,-121.69427,33.533333333333333333333333
48.08334,-121.96994,31.84375
48.0047,-122.112265,29.280373831775700934579439
48.05542,-122.17673,32.197368421052631578947368
