Zipcode,Type,City,County,State,Area Codes
98261,Standard,Lopez Island,San Juan County,WA,360
98262,Standard,Lummi Island,Whatcom County,WA,360
98263,Po Box,Lyman,Skagit County,WA,360
98264,Standard,Lynden,Whatcom County,WA,360
98266,Standard,Maple Falls,Whatcom County,WA,360
98267,Standard,Marblemount,Skagit County,WA,360
98270,Standard,Marysville,Snohomish County,WA,360-425
98271,Standard,Marysville,Snohomish County,WA,360-425-206
98272,Standard,Monroe,Snohomish County,WA,360-425-206
98273,Standard,Mount Vernon,Skagit County,WA,360
98274,Standard,Mount Vernon,Skagit County,WA,360
98275,Standard,Mukilteo,Snohomish County,WA,425-206
98276,Po Box,Nooksack,Whatcom County,WA,360
98277,Standard,Oak Harbor,Island County,WA,360
98278,Unique,Oak Harbor,Island County,WA,360
98279,Standard,Olga,San Juan County,WA,360
98280,Po Box,Orcas,San Juan County,WA,360
98281,Standard,Point Roberts,Whatcom County,WA,360
98282,Standard,Camano Island,Island County,WA,360
98283,Standard,Rockport,Skagit County,WA,360
98284,Standard,Sedro Woolley,Skagit County,WA,360-425
98286,Po Box,Shaw Island,San Juan County,WA,360
98287,Po Box,Silvana,Snohomish County,WA,206
98288,Po Box,Skykomish,King County,WA,360
98290,Standard,Snohomish,Snohomish County,WA,360-425
98291,Po Box,Snohomish,Snohomish County,WA,206
98292,Standard,Stanwood,Snohomish County,WA,425-36
98293,Po Box,Startup,Snohomish County,WA,360
98294,Standard,Sultan,Snohomish County,WA,360
98295,Standard,Sumas,Whatcom County,WA,360
98296,Standard,Snohomish,Snohomish County,WA,360-206-425
98297,Po Box,Waldron,San Juan County,WA,360
98303,Standard,Anderson Island,Pierce County,WA,253
98304,Standard,Ashford,Pierce County,WA,360-503
98305,Standard,Beaver,Clallam County,WA,360
98310,Standard,Bremerton,Kitsap County,WA,360-206
98311,Standard,Bremerton,Kitsap County,WA,360-425-206
98312,Standard,Bremerton,Kitsap County,WA,360
98314,Unique,Bremerton,Kitsap County,WA,360
98315,Standard,Silverdale,Kitsap County,WA,360
98320,Standard,Brinnon,Jefferson County,WA,360
98321,Standard,Buckley,Pierce County,WA,360-253
98322,Po Box,Burley,Kitsap County,WA,253
98323,Standard,Carbonado,Pierce County,WA,360
98324,Po Box,Carlsborg,Clallam County,WA,360
98325,Standard,Chimacum,Jefferson County,WA,360
98326,Standard,Clallam Bay,Clallam County,WA,360
98327,Standard,Dupont,Pierce County,WA,253
98328,Standard,Eatonville,Pierce County,WA,360-253
98329,Standard,Gig Harbor,Pierce County,WA,253
98330,Standard,Elbe,Pierce County,WA,360
98331,Standard,Forks,Jefferson County,WA,360
98332,Standard,Gig Harbor,Pierce County,WA,253
98333,Standard,Fox Island,Pierce County,WA,253
98335,Standard,Gig Harbor,Pierce County,WA,253-360-206
98336,Standard,Glenoma,Lewis County,WA,360
98337,Standard,Bremerton,Kitsap County,WA,360
98338,Standard,Graham,Pierce County,WA,253-36
98339,Standard,Port Hadlock,Jefferson County,WA,360
98340,Standard,Hansville,Kitsap County,WA,360
98342,Standard,Indianola,Kitsap County,WA,360
98343,Po Box,Joyce,Clallam County,WA,360
98344,Po Box,Kapowsin,Pierce County,WA,360
98345,Po Box,Keyport,Kitsap County,WA,360
98346,Standard,Kingston,Kitsap County,WA,360
98348,Po Box,La Grande,Thurston County,WA,
98349,Standard,Lakebay,Pierce County,WA,253
98350,Po Box,La Push,Clallam County,WA,360
98351,Standard,Longbranch,Pierce County,WA,253
98352,Unique,Sumner,Pierce County,WA,253
98353,Po Box,Manchester,Kitsap County,WA,
98354,Standard,Milton,Pierce County,WA,253
98355,Standard,Mineral,Lewis County,WA,360
98356,Standard,Morton,Lewis County,WA,360
98357,Po Box,Neah Bay,Clallam County,WA,360
98358,Standard,Nordland,Jefferson County,WA,360
98359,Standard,Olalla,Kitsap County,WA,253
98360,Standard,Orting,Pierce County,WA,253-36
98361,Standard,Packwood,Lewis County,WA,360
98362,Standard,Port Angeles,Clallam County,WA,360
98363,Standard,Port Angeles,Clallam County,WA,360
98364,Po Box,Port Gamble,Kitsap County,WA,360
98365,Standard,Port Ludlow,Jefferson County,WA,360
98366,Standard,Port Orchard,Kitsap County,WA,360
98367,Standard,Port Orchard,Kitsap County,WA,360-253
98368,Standard,Port Townsend,Jefferson County,WA,360
98370,Standard,Poulsbo,Kitsap County,WA,360-425
98371,Standard,Puyallup,Pierce County,WA,253
98372,Standard,Puyallup,Pierce County,WA,253
98373,Standard,Puyallup,Pierce County,WA,253
98374,Standard,Puyallup,Pierce County,WA,253-36
98375,Standard,Puyallup,Pierce County,WA,253
98376,Standard,Quilcene,Jefferson County,WA,360
98377,Standard,Randle,Lewis County,WA,360
98378,Po Box,Retsil,Kitsap County,WA,
98380,Standard,Seabeck,Kitsap County,WA,360
98381,Standard,Sekiu,Clallam County,WA,360
98382,Standard,Sequim,Clallam County,WA,360
98383,Standard,Silverdale,Kitsap County,WA,360
98384,Po Box,South Colby,Kitsap County,WA,
98385,Po Box,South Prairie,Pierce County,WA,360
98386,Po Box,Southworth,Kitsap County,WA,
98387,Standard,Spanaway,Pierce County,WA,206-253
98388,Standard,Steilacoom,Pierce County,WA,253
98390,Standard,Sumner,Pierce County,WA,253-360-206
98391,Standard,Bonney Lake,Pierce County,WA,
98392,Standard,Suquamish,Kitsap County,WA,206-36
98393,Po Box,Tracyton,Kitsap County,WA,360
98394,Standard,Vaughn,Pierce County,WA,253
98395,Po Box,Wauna,Pierce County,WA,
98396,Po Box,Wilkeson,Pierce County,WA,360
98397,Po Box,Longmire,Pierce County,WA,
98398,Po Box,Paradise Inn,Lewis County,WA,
98401,Po Box,Tacoma,Pierce County,WA,253
98402,Standard,Tacoma,Pierce County,WA,253
98403,Standard,Tacoma,Pierce County,WA,253
98404,Standard,Tacoma,Pierce County,WA,253
98405,Standard,Tacoma,Pierce County,WA,253
98406,Standard,Tacoma,Pierce County,WA,253-206
98407,Standard,Tacoma,Pierce County,WA,253
98408,Standard,Tacoma,Pierce County,WA,253
98409,Standard,Tacoma,Pierce County,WA,253
98411,Po Box,Tacoma,Pierce County,WA,253
98412,Po Box,Tacoma,Pierce County,WA,253
98413,Standard,Tacoma,Pierce County,WA,253
98415,Po Box,Tacoma,Pierce County,WA,253
98416,Unique,Tacoma,Pierce County,WA,253
98417,Po Box,Tacoma,Pierce County,WA,253
98418,Standard,Tacoma,Pierce County,WA,253
98419,Po Box,Tacoma,Pierce County,WA,253
98421,Standard,Tacoma,Pierce County,WA,253
98422,Standard,Tacoma,Pierce County,WA,253
98424,Standard,Tacoma,Pierce County,WA,253-206
98430,Unique,Camp Murray,Pierce County,WA,
98431,Unique,Tacoma,Pierce County,WA,253
98433,Standard,Tacoma,Pierce County,WA,253
98438,Po Box,Mcchord Afb,Pierce County,WA,253
98439,Standard,Lakewood,Pierce County,WA,253
98442,Standard,Tacoma,Pierce County,WA,253
98443,Standard,Tacoma,Pierce County,WA,253
98444,Standard,Tacoma,Pierce County,WA,253-206
98445,Standard,Tacoma,Pierce County,WA,253
98446,Standard,Tacoma,Pierce County,WA,253
98447,Unique,Tacoma,Pierce County,WA,253
98448,Po Box,Tacoma,Pierce County,WA,253
98450,Unique,Tacoma,Pierce County,WA,253
98455,Unique,Tacoma,Pierce County,WA,253
98460,Unique,Tacoma,Pierce County,WA,253
98464,Po Box,Tacoma,Pierce County,WA,253
98465,Standard,Tacoma,Pierce County,WA,253
98466,Standard,Tacoma,Pierce County,WA,253
98467,Standard,University Place,Pierce County,WA,253-206
98471,Unique,Tacoma,Pierce County,WA,253
98477,Unique,Tacoma,Pierce County,WA,253
98481,Unique,Tacoma,Pierce County,WA,253
98490,Po Box,Tacoma,Pierce County,WA,253
98492,Standard,Tacoma,Pierce County,WA,253
98493,Unique,Tacoma,Pierce County,WA,253
98496,Po Box,Lakewood,Pierce County,WA,253
98497,Po Box,Lakewood,Pierce County,WA,253
98498,Standard,Lakewood,Pierce County,WA,253
98499,Standard,Lakewood,Pierce County,WA,253
98501,Standard,Olympia,Thurston County,WA,360
98502,Standard,Olympia,Thurston County,WA,360
98503,Standard,Lacey,Thurston County,WA,206-425-360
98504,Unique,Olympia,Thurston County,WA,360
98505,Unique,Olympia,Thurston County,WA,360
98506,Standard,Olympia,Thurston County,WA,360
98507,Po Box,Olympia,Thurston County,WA,360
98508,Po Box,Olympia,Thurston County,WA,360
98509,Po Box,Lacey,Thurston County,WA,360
98511,Po Box,Tumwater,Thurston County,WA,360
98512,Standard,Olympia,Thurston County,WA,360
98513,Standard,Olympia,Thurston County,WA,360
98516,Standard,Olympia,Thurston County,WA,360-253
98520,Standard,Aberdeen,Grays Harbor County,WA,360
98522,Po Box,Adna,Lewis County,WA,360
98524,Standard,Allyn,Mason County,WA,360
98526,Standard,Amanda Park,Grays Harbor County,WA,360
98527,Po Box,Bay Center,Pacific County,WA,360
98528,Standard,Belfair,Mason County,WA,360
98530,Po Box,Bucoda,Thurston County,WA,360
98531,Standard,Centralia,Lewis County,WA,360
98532,Standard,Chehalis,Lewis County,WA,360
98533,Standard,Cinebar,Lewis County,WA,360
98535,Standard,Copalis Beach,Grays Harbor County,WA,360
98536,Standard,Copalis Crossing,Grays Harbor County,WA,360
98537,Standard,Cosmopolis,Grays Harbor County,WA,360
98538,Standard,Curtis,Lewis County,WA,360
98539,Po Box,Doty,Lewis County,WA,360
98540,Po Box,East Olympia,Thurston County,WA,360
98541,Standard,Elma,Grays Harbor County,WA,360
98542,Standard,Ethel,Lewis County,WA,360
98544,Po Box,Galvin,Lewis County,WA,360
98546,Standard,Grapeview,Mason County,WA,360
98547,Standard,Grayland,Pacific County,WA,360
98548,Standard,Hoodsport,Mason County,WA,360
98550,Standard,Hoquiam,Grays Harbor County,WA,360
98552,Standard,Humptulips,Grays Harbor County,WA,360
98554,Po Box,Lebam,Pacific County,WA,360
98555,Standard,Lilliwaup,Mason County,WA,360
98556,Po Box,Littlerock,Thurston County,WA,360
98557,Standard,Mccleary,Grays Harbor County,WA,360
98558,Po Box,Mckenna,Pierce County,WA,360
98559,Po Box,Malone,Grays Harbor County,WA,360
98560,Standard,Matlock,Mason County,WA,
98561,Po Box,Menlo,Pacific County,WA,360
98562,Po Box,Moclips,Grays Harbor County,WA,360
98563,Standard,Montesano,Grays Harbor County,WA,360
98564,Standard,Mossyrock,Lewis County,WA,360
98565,Po Box,Napavine,Lewis County,WA,360
98566,Po Box,Neilton,Grays Harbor County,WA,360
98568,Standard,Oakville,Grays Harbor County,WA,360
98569,Standard,Ocean Shores,Grays Harbor County,WA,360
98570,Standard,Onalaska,Lewis County,WA,360
98571,Po Box,Pacific Beach,Grays Harbor County,WA,360
98572,Standard,Pe Ell,Lewis County,WA,360
98575,Standard,Quinault,Grays Harbor County,WA,360
98576,Standard,Rainier,Thurston County,WA,360
98577,Standard,Raymond,Pacific County,WA,360
98579,Standard,Rochester,Thurston County,WA,360
98580,Standard,Roy,Pierce County,WA,253-36
98581,Standard,Ryderwood,Cowlitz County,WA,360
98582,Standard,Salkum,Lewis County,WA,360
98583,Po Box,Satsop,Grays Harbor County,WA,360
98584,Standard,Shelton,Mason County,WA,360
98585,Standard,Silver Creek,Lewis County,WA,360
98586,Standard,South Bend,Pacific County,WA,360
98587,Po Box,Taholah,Grays Harbor County,WA,360
98588,Standard,Tahuya,Mason County,WA,360
98589,Standard,Tenino,Thurston County,WA,360
98590,Standard,Tokeland,Pacific County,WA,360
98591,Standard,Toledo,Lewis County,WA,360
98592,Standard,Union,Mason County,WA,360
98593,Standard,Vader,Lewis County,WA,360
98595,Standard,Westport,Grays Harbor County,WA,360
98596,Standard,Winlock,Lewis County,WA,360
98597,Standard,Yelm,Thurston County,WA,360
98599,Unique,Olympia,Thurston County,WA,360
98601,Standard,Amboy,Clark County,WA,360
98602,Standard,Appleton,Klickitat County,WA,509
98603,Standard,Ariel,Cowlitz County,WA,360
98604,Standard,Battle Ground,Clark County,WA,360
98605,Standard,Bingen,Klickitat County,WA,509
98606,Standard,Brush Prairie,Clark County,WA,360
98607,Standard,Camas,Clark County,WA,360
98609,Standard,Carrolls,Cowlitz County,WA,360
98610,Standard,Carson,Skamania County,WA,509
98611,Standard,Castle Rock,Cowlitz County,WA,360
98612,Standard,Cathlamet,Wahkiakum County,WA,360
98613,Standard,Centerville,Klickitat County,WA,509
98614,Po Box,Chinook,Pacific County,WA,360
98616,Standard,Cougar,Cowlitz County,WA,360
98617,Po Box,Dallesport,Klickitat County,WA,509
98619,Standard,Glenwood,Klickitat County,WA,509
98620,Standard,Goldendale,Klickitat County,WA,509
98621,Standard,Grays River,Wahkiakum County,WA,360
98622,Po Box,Heisson,Clark County,WA,360
98623,Po Box,Husum,Klickitat County,WA,509
98624,Standard,Ilwaco,Pacific County,WA,360
98625,Standard,Kalama,Cowlitz County,WA,360
98626,Standard,Kelso,Cowlitz County,WA,360
98628,Standard,Klickitat,Klickitat County,WA,509
98629,Standard,La Center,Clark County,WA,360
98631,Standard,Long Beach,Pacific County,WA,360
98632,Standard,Longview,Cowlitz County,WA,360
98635,Standard,Lyle,Klickitat County,WA,509
98637,Po Box,Nahcotta,Pacific County,WA,360
98638,Standard,Naselle,Pacific County,WA,360
98639,Po Box,North Bonneville,Skamania County,WA,509
98640,Standard,Ocean Park,Pacific County,WA,360
98641,Po Box,Oysterville,Pacific County,WA,360
98642,Standard,Ridgefield,Clark County,WA,360
98643,Standard,Rosburg,Wahkiakum County,WA,360
98644,Po Box,Seaview,Pacific County,WA,360
98645,Standard,Silverlake,Cowlitz County,WA,360
98647,Standard,Skamokawa,Wahkiakum County,WA,360
98648,Standard,Stevenson,Skamania County,WA,509
98649,Standard,Toutle,Cowlitz County,WA,360
98650,Standard,Trout Lake,Klickitat County,WA,509
98651,Standard,Underwood,Skamania County,WA,509
98660,Standard,Vancouver,Clark County,WA,360
98661,Standard,Vancouver,Clark County,WA,360
98662,Standard,Vancouver,Clark County,WA,360
98663,Standard,Vancouver,Clark County,WA,360
98664,Standard,Vancouver,Clark County,WA,360
98665,Standard,Vancouver,Clark County,WA,360
98666,Po Box,Vancouver,Clark County,WA,360-503
98667,Unique,Vancouver,Clark County,WA,360
98668,Po Box,Vancouver,Clark County,WA,360
98670,Standard,Wahkiacus,Klickitat County,WA,509
98671,Standard,Washougal,Clark County,WA,360
98672,Standard,White Salmon,Klickitat County,WA,509
98673,Po Box,Wishram,Klickitat County,WA,509
98674,Standard,Woodland,Clark County,WA,360
98675,Standard,Yacolt,Clark County,WA,360
98682,Standard,Vancouver,Clark County,WA,360
98683,Standard,Vancouver,Clark County,WA,360
98684,Standard,Vancouver,Clark County,WA,360
98685,Standard,Vancouver,Clark County,WA,360
98686,Standard,Vancouver,Clark County,WA,360
98687,Po Box,Vancouver,Clark County,WA,360
98801,Standard,Wenatchee,Chelan County,WA,509
98802,Standard,East Wenatchee,Douglas County,WA,509
98807,Po Box,Wenatchee,Chelan County,WA,509
98811,Po Box,Ardenvoir,Chelan County,WA,509
98812,Standard,Brewster,Okanogan County,WA,509
98813,Standard,Bridgeport,Douglas County,WA,509
98814,Standard,Carlton,Okanogan County,WA,509
98815,Standard,Cashmere,Chelan County,WA,509
98816,Standard,Chelan,Chelan County,WA,509
98817,Po Box,Chelan Falls,Chelan County,WA,509
98819,Po Box,Conconully,Okanogan County,WA,509
