"longitude","latitude","tot_pob"
-122.125164,47.577051,1
-122.322114,47.610087,1
-122.354922,47.6232795,1
-117.540534,47.630989,1
-122.90824,46.99366,1
-120.66404,47.59519,1
-121.81659,47.86215,1
-121.0198,47.2086,1
-121.41252,47.42253,1
-122.237601,47.906308,1
-122.324877,47.66159,1
-122.47265,47.225367,1
-122.174855,47.707294,1
-122.174855,47.707294,1
-122.89857,47.034344,1
-122.223648,47.573641,1
-117.164374,46.732394,1
-117.161393,46.729675,1
-122.496837,48.391109,1
-122.630287,47.56415,1
-122.6401,47.5501,1
-122.6401,47.5501,1
-117.157928,46.731746,1
-120.121376,48.362102,1
-121.981984,46.759919,1
-122.298723,47.423319,1
-122.298719,47.42327,1
-121.758653,48.537035,1
-120.315228,47.429582,1
-120.316235,47.442921,1
-122.299298,47.661471,1
-122.330804,47.599,1
-122.037552,47.534915,1
-122.479518,48.750857,1
-117.156333,46.729734,1
-122.201255,47.614294,1
-122.200729,47.614098,1
-121.244711,48.6735,1
-120.675803,47.558592,1
-118.150361,47.652922,1
-122.209818,47.577257,1
-122.540217,47.812524,1
-122.516388,47.504444,1
-122.037391,47.605953,1
-122.194775,47.613367,1
-119.672953,48.009356,1
-119.438406,48.705586,1
-122.194308,47.612468,1
-122.037426,47.606215,1
-120.331529,47.463409,1
-120.300871,47.531819,1
-122.32205,47.565076,1
-122.328735,47.604394,1
-122.344155,47.520043,1
-122.334822,47.702714,1
-122.293403,47.538387,1
-122.206569,47.61309,1
-122.334391,48.418198,1
-122.342164,47.622264,1
-122.143364,47.580655,1
-122.137229,47.635607,1
-122.190947,47.757838,1
-122.164808,47.571386,1
-122.203009,47.616971,1
-122.228541,47.590057,1
-120.317166,47.4175735,1
-117.397214,47.668201,1
-122.198497,47.612754,1
-122.578979,47.329291,1
-122.298284,47.661361,1
-122.590314,47.339342,1
-122.661047,47.75946,1
-123.021351,48.536489,1
-123.028884,48.514655,1
-123.019311,48.532963,1
-123.021001,48.532844,1
-122.904798,48.692979,1
-122.781015,48.641279,1
-122.909571,48.521863,1
-122.914874,48.530774,1
-122.295497,47.451709,1
-122.922337,47.023179,1
-122.647204,47.736632,1
-122.694367,47.652505,1
-122.3088327,48.436423,1
-122.147284,47.585655,1
-122.6467578,45.7208083,1
-122.514596,47.25914,1
-122.321639,47.60636,1
-122.215347,47.477362,1
-122.237313,47.203981,1
-122.167006,47.704069,1
-122.334893,47.611102,1
-122.15043,47.58495,1
-122.339684,47.633992,1
-122.677588,45.6313841,1
-122.513582,47.637692,1
-122.103668,47.359935,1
-122.301609,47.389529,1
-119.436456,48.938283,1
-119.483647,47.39125,1
-120.154608,47.883847,1
-122.296428,47.443363,1
-122.664489,45.662257,1
-121.812778,46.750241,1
-122.332012,47.609095,1
-117.368859,47.659232,1
-117.430179,47.653614,1
-117.416241,47.669621,1
-117.227256,47.628186,1
-117.431811,47.662679,1
-122.133439,47.617634,1
-122.896054,47.011089,1
-122.312203,47.58002,1
-122.179484,47.61541,1
-119.188501,46.180363,1
-120.549197,46.994236,1
-117.360474,47.673158,1
